"nba_year","nba_draft_Rk","nba_draft_Player","nba_draft_Pk","nba_draft_Tm","nba_draft_College","nba_draft_Yrs","nba_draft_ttl_G","nba_draft_ttl_MP","nba_draft_ttl_PTS","nba_draft_ttl_TRB","nba_draft_ttl_AST","nba_draft_FG","nba_draft__3P","nba_draft_FT","nba_draft_per_MP","nba_draft_per_PTS","nba_draft_per_TRB","nba_draft_per_AST","nba_draft_WS","nba_draft_WS48","nba_draft_BPM","nba_draft_VORP"
"1947","58","Bob Hubbard","","PRO","Springfield College","2","62","","224","","29",".249","",".674","","3.6","","0.5","-0.9","","",""
"1947","59","Bob Joyce","","PRO","Bates College","","","","","","","","","","","","","","","","",""
"1947","60","Roy Lipscomb","","PRO","St. Mary's College of Maryland","","","","","","","","","","","","","","","","",""
"1947","61","John Mills","","PRO","Hofstra","","","","","","","","","","","","","","","","",""
"1947","62","Al Nichols","","PRO","Rhode Island","","","","","","","","","","","","","","","","",""
"1947","63","Jack Knopf","","STB","Louisville","","","","","","","","","","","","","","","","",""
"1947","64","Bob Kurland","","STB","Oklahoma State","","","","","","","","","","","","","","","","",""
"1947","65","Paul Napolitano","","STB","San Francisco","1","1","","0","","0","","","","","0.0","","0.0","0.0","","",""
"1947","66","Jim Pollard","","STB","Stanford","7","438","9391","5762","2487","1417",".360","",".750","35.4","13.2","7.8","3.2","34.9",".093","",""
"1947","67","Bill Strannigan","","STB","Wyoming","","","","","","","","","","","","","","","","",""
"1947","68","Herb Wilkinson","","STB","Iowa","","","","","","","","","","","","","","","","",""
"1947","69","Frank Broyles","","TRH","Georgia Tech","","","","","","","","","","","","","","","","",""
"1947","70","Paul Hoffman","","TRH","Purdue","6","317","5130","3234","1129","911",".340","",".676","28.7","10.2","5.1","2.9","12.9",".031","",""
"1947","71","Wimpy Quinn","","TRH","Oregon","","","","","","","","","","","","","","","","",""
"1947","72","Red Rocha","","TRH","Oregon State","9","586","10507","6362","2747","1153",".370","",".759","29.9","10.9","6.6","2.0","47.9",".109","",""
"1947","73","Bill Burke","","WSC","St. Mary's College of Maryland","","","","","","","","","","","","","","","","",""
"1947","74","Paul Cloyd","","WSC","Wisconsin","1","7","","19","","2",".269","",".625","","2.7","","0.3","-0.1","","",""
"1947","75","John Mandic","","WSC","Oregon State","2","81","","335","","88",".316","",".660","","4.1","","1.1","2.4","","",""
"1947","76","Saul Mariaschin","","WSC","Harvard University","1","43","","333","","60",".270","",".709","","7.7","","1.4","1.1","","",""
"1947","77","Abel Rodriguez","","WSC","San Francisco","","","","","","","","","","","","","","","","",""
"1947","78","Irv Rothenberg","","WSC","Long Island University","3","131","","709","","90",".267","",".606","","5.4","","0.7","3.6","","",""
"1947","79","Jack Tingle","","WSC","Kentucky","2","39","","91","","8",".259","",".515","","2.3","","0.2","0.4","","",""
"1947","80","Matt Zunic","","WSC","George Washington","1","56","","273","","50",".303","",".706","","4.9","","0.9","2.0","","",""
"1948","1","Andy Tonkovich","1","PRO","Marshall","1","17","","44","","10",".268","",".667","","2.6","","0.6","-0.4","","",""
"1948","2","George Kok","2","INJ","Arkansas","","","","","","","","","","","","","","","","",""
"1948","3","George Hauptfuhrer","3","BOS","Harvard University","","","","","","","","","","","","","","","","",""
"1948","4","Dolph Schayes","4","NYK","NYU","15","996","29800","18438","11256","3072",".380","",".849","34.4","18.5","12.1","3.1","142.4",".192","",""
"1948","5","Ed Mikan","5","CHS","DePaul","6","323","2779","2163","1093","296",".320","",".756","20.3","6.7","5.5","0.9","3.6",".000","",""
"1948","6","Walt Budko","6","BLB","Columbia University","4","253","1126","2037","684","471",".342","",".757","17.9","8.1","5.4","1.9","13.7",".065","",""
"1948","7","Robert Gale","7","STB","Cornell","","","","","","","","","","","","","","","","",""
"1948","8","Ward Williams","8","FTW","Indiana","1","53","","215","","82",".237","",".750","","4.1","","1.5","1.8","","",""
"1948","9","Chuck Hanger","9","MNL","California","","","","","","","","","","","","","","","","",""
"1948","10","Bobby Wanzer","10","ROC","Seton Hall","9","568","12128","6924","1979","1830",".393","",".802","32.5","12.2","4.5","3.2","63.9",".156","",""
